SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
1258,1272,1606665492453,1,-1,108,[192.168.1.91- 192.168.1.93],application,video,14,,14,,x
1271,1286,1606665492466,1,-1,109,[192.168.1.91- 192.168.1.93],application,vibrational,15,,,15,x
1279,1296,1606665492474,1,-1,110,[192.168.1.91- 192.168.1.93],application,info,17,17,,,x
1290,1309,1606665492485,1,-1,111,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
1306,1327,1606665492501,1,-1,112,[192.168.1.91- 192.168.1.93],application,video,21,,21,,x
1315,1329,1606665492510,1,-1,113,[192.168.1.91- 192.168.1.93],application,info,14,14,,,x
1323,1341,1606665492518,1,-1,114,[192.168.1.91- 192.168.1.93],application,video,18,,18,,x
1333,1353,1606665492528,1,-1,115,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
1343,1363,1606665492538,1,-1,116,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
1351,1368,1606665492546,1,-1,117,[192.168.1.91- 192.168.1.93],application,video,17,,17,,x
1361,1387,1606665492556,1,-1,118,[192.168.1.91- 192.168.1.93],application,vibrational,26,,,26,x
1371,1395,1606665492566,1,-1,119,[192.168.1.91- 192.168.1.93],application,vibrational,24,,,24,x
1380,1397,1606665492575,1,-1,120,[192.168.1.91- 192.168.1.93],application,info,17,17,,,x
1389,1406,1606665492584,1,-1,121,[192.168.1.91- 192.168.1.93],application,video,17,,17,,x
1401,1421,1606665492596,1,-1,122,[192.168.1.91- 192.168.1.93],application,info,20,20,,,x
1412,1427,1606665492607,1,-1,123,[192.168.1.91- 192.168.1.93],application,video,15,,15,,x
1421,1439,1606665492616,1,-1,124,[192.168.1.91- 192.168.1.93],application,vibrational,18,,,18,x
1430,1446,1606665492625,1,-1,125,[192.168.1.91- 192.168.1.93],application,vibrational,16,,,16,x
1439,1457,1606665492634,1,-1,126,[192.168.1.91- 192.168.1.93],application,vibrational,18,,,18,x
1447,1466,1606665492642,1,-1,127,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
1457,1474,1606665492652,1,-1,128,[192.168.1.91- 192.168.1.93],application,info,17,17,,,x
1466,1487,1606665492661,1,-1,129,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,x
1478,1498,1606665492673,1,-1,130,[192.168.1.91- 192.168.1.93],application,info,20,20,,,x
1489,1504,1606665492684,1,-1,131,[192.168.1.91- 192.168.1.93],application,vibrational,15,,,15,x
1498,1523,1606665492693,1,-1,132,[192.168.1.91- 192.168.1.93],application,video,25,,25,,x
1507,1537,1606665492702,1,-1,133,[192.168.1.91- 192.168.1.93],application,vibrational,30,,,30,
1516,1541,1606665492711,1,-1,134,[192.168.1.91- 192.168.1.93],application,video,25,,25,,x
1524,1546,1606665492719,1,-1,135,[192.168.1.91- 192.168.1.93],application,video,22,,22,,x
1533,1551,1606665492728,1,-1,136,[192.168.1.91- 192.168.1.93],application,video,18,,18,,x
1550,1569,1606665492745,1,-1,137,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
1563,1577,1606665492758,1,-1,138,[192.168.1.91- 192.168.1.93],application,vibrational,14,,,14,x
1572,1603,1606665492767,1,-1,139,[192.168.1.91- 192.168.1.93],application,video,31,,31,,x
1583,1606,1606665492778,1,-1,140,[192.168.1.91- 192.168.1.93],application,info,23,23,,,x
1591,1634,1606665492786,1,-1,141,[192.168.1.91- 192.168.1.93],application,video,43,,43,,x
1609,1639,1606665492804,1,-1,143,[192.168.1.91- 192.168.1.93],application,info,30,30,,,
